id,artwork_id,artwork_color_id,device_color_id,image_1,image_2,image_3,image_4,image_5
1,2,11,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000091.png.350x350-w.m80.jpg,,,,
2,2,12,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000092.png.350x350-w.m80.jpg,,,,
3,2,13,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000093.png.350x350-w.m80.jpg,,,,
4,2,14,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000094.png.350x350-w.m80.jpg,,,,
5,2,15,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000095.png.350x350-w.m80.jpg,,,,
6,2,16,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000096.png.350x350-w.m80.jpg,,,,
7,2,17,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000097.png.350x350-w.m80.jpg,,,,
8,2,18,1,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_midnight-green_16000098.png.350x350-w.m80.jpg,,,,
9,2,11,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000091.png.350x350-w.m80.jpg,,,,
10,2,12,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000092.png.350x350-w.m80.jpg,,,,
11,2,13,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000093.png.350x350-w.m80.jpg,,,,
12,2,14,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000094.png.350x350-w.m80.jpg,,,,
13,2,15,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000095.png.350x350-w.m80.jpg,,,,
14,2,16,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000096.png.350x350-w.m80.jpg,,,,
15,2,17,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000097.png.350x350-w.m80.jpg,,,,
16,2,18,2,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_space-gray_16000098.png.350x350-w.m80.jpg,,,,
17,2,11,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000091.png.350x350-w.m80.jpg,,,,
18,2,12,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000092.png.350x350-w.m80.jpg,,,,
19,2,13,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000093.png.350x350-w.m80.jpg,,,,
20,2,14,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000094.png.350x350-w.m80.jpg,,,,
21,2,15,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000095.png.350x350-w.m80.jpg,,,,
22,2,16,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000096.png.350x350-w.m80.jpg,,,,
23,2,17,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000097.png.350x350-w.m80.jpg,,,,
24,2,18,3,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_silver_16000098.png.350x350-w.m80.jpg,,,,
25,2,11,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000091.png.350x350-w.m80.jpg,,,,
26,2,12,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000092.png.350x350-w.m80.jpg,,,,
27,2,13,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000093.png.350x350-w.m80.jpg,,,,
28,2,14,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000094.png.350x350-w.m80.jpg,,,,
29,2,15,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000095.png.350x350-w.m80.jpg,,,,
30,2,16,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000096.png.350x350-w.m80.jpg,,,,
31,2,17,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000097.png.350x350-w.m80.jpg,,,,
32,2,18,4,https://cdn-image02.casetify.com/usr/11785/3671785/~v16/6318569_iphone11-pro-max__color_gold_16000098.png.350x350-w.m80.jpg,,,,
33,3,11,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000091.png.350x350-w.m80.jpg,,,,
34,3,12,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000092.png.350x350-w.m80.jpg,,,,
35,3,13,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000093.png.350x350-w.m80.jpg,,,,
36,3,14,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000094.png.350x350-w.m80.jpg,,,,
37,3,15,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000095.png.350x350-w.m80.jpg,,,,
38,3,16,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000096.png.350x350-w.m80.jpg,,,,
39,3,17,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000097.png.350x350-w.m80.jpg,,,,
40,3,18,1,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_midnight-green_16000098.png.350x350-w.m80.jpg,,,,
41,3,11,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000091.png.350x350-w.m80.jpg,,,,
42,3,12,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000092.png.350x350-w.m80.jpg,,,,
43,3,13,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000093.png.350x350-w.m80.jpg,,,,
44,3,14,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000094.png.350x350-w.m80.jpg,,,,
45,3,15,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000095.png.350x350-w.m80.jpg,,,,
46,3,16,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000096.png.350x350-w.m80.jpg,,,,
47,3,17,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000097.png.350x350-w.m80.jpg,,,,
48,3,18,2,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_space-gray_16000098.png.350x350-w.m80.jpg,,,,
49,3,11,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000091.png.350x350-w.m80.jpg,,,,
50,3,12,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000092.png.350x350-w.m80.jpg,,,,
51,3,13,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000093.png.350x350-w.m80.jpg,,,,
52,3,14,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000094.png.350x350-w.m80.jpg,,,,
53,3,15,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000095.png.350x350-w.m80.jpg,,,,
54,3,16,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000096.png.350x350-w.m80.jpg,,,,
55,3,17,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000097.png.350x350-w.m80.jpg,,,,
56,3,18,3,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_silver_16000098.png.350x350-w.m80.jpg,,,,
57,3,11,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000091.png.350x350-w.m80.jpg,,,,
58,3,12,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000092.png.350x350-w.m80.jpg,,,,
59,3,13,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000093.png.350x350-w.m80.jpg,,,,
60,3,14,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000094.png.350x350-w.m80.jpg,,,,
61,3,15,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000095.png.350x350-w.m80.jpg,,,,
62,3,16,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000096.png.350x350-w.m80.jpg,,,,
63,3,17,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000097.png.350x350-w.m80.jpg,,,,
64,3,18,4,https://cdn-image02.casetify.com/usr/29880/1619880/~v139/2913728_iphone11-pro-max__color_gold_16000098.png.350x350-w.m80.jpg,,,,
65,4,11,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000091.png.350x350-w.m80.jpg,,,,
66,4,12,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000092.png.350x350-w.m80.jpg,,,,
67,4,13,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000093.png.350x350-w.m80.jpg,,,,
68,4,14,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000094.png.350x350-w.m80.jpg,,,,
69,4,15,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000095.png.350x350-w.m80.jpg,,,,
70,4,16,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000096.png.350x350-w.m80.jpg,,,,
71,4,17,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000097.png.350x350-w.m80.jpg,,,,
72,4,18,1,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_midnight-green_16000098.png.350x350-w.m80.jpg,,,,
73,4,11,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000091.png.350x350-w.m80.jpg,,,,
74,4,12,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000092.png.350x350-w.m80.jpg,,,,
75,4,13,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000093.png.350x350-w.m80.jpg,,,,
76,4,14,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000094.png.350x350-w.m80.jpg,,,,
77,4,15,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000095.png.350x350-w.m80.jpg,,,,
78,4,16,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000096.png.350x350-w.m80.jpg,,,,
79,4,17,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000097.png.350x350-w.m80.jpg,,,,
80,4,18,2,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_space-gray_16000098.png.350x350-w.m80.jpg,,,,
81,4,11,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000091.png.350x350-w.m80.jpg,,,,
82,4,12,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000092.png.350x350-w.m80.jpg,,,,
83,4,13,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000093.png.350x350-w.m80.jpg,,,,
84,4,14,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000094.png.350x350-w.m80.jpg,,,,
85,4,15,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000095.png.350x350-w.m80.jpg,,,,
86,4,16,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000096.png.350x350-w.m80.jpg,,,,
87,4,17,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000097.png.350x350-w.m80.jpg,,,,
88,4,18,3,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_silver_16000098.png.350x350-w.m80.jpg,,,,
89,4,11,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000091.png.350x350-w.m80.jpg,,,,
90,4,12,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000092.png.350x350-w.m80.jpg,,,,
91,4,13,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000093.png.350x350-w.m80.jpg,,,,
92,4,14,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000094.png.350x350-w.m80.jpg,,,,
93,4,15,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000095.png.350x350-w.m80.jpg,,,,
94,4,16,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000096.png.350x350-w.m80.jpg,,,,
95,4,17,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000097.png.350x350-w.m80.jpg,,,,
96,4,18,4,https://cdn-image02.casetify.com/usr/14378/1544378/~v116/2849254_iphone11-pro-max__color_gold_16000098.png.350x350-w.m80.jpg,,,,
97,5,11,1,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_midnight-green_16000091.png.350x350-w.m80.jpg,,,,
98,5,12,1,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_midnight-green_16000092.png.350x350-w.m80.jpg,,,,
99,5,13,1,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_midnight-green_16000093.png.350x350-w.m80.jpg,,,,
100,5,14,1,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_midnight-green_16000094.png.350x350-w.m80.jpg,,,,
101,5,15,1,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_midnight-green_16000095.png.350x350-w.m80.jpg,,,,
